Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1001SeachByKeyword,Chrome 108.0.0.0,,,2565-12-16 12:25:13,2565-12-16 12:25:35,22.476s,PASSED
,,,,,,,
Test Cases/TC1001SearchByKeyword,Chrome 108.0.0.0,,,2565-12-16 12:25:13,2565-12-16 12:25:22,9.116s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:25:13,2565-12-16 12:25:15,1.785s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:25:15,2565-12-16 12:25:16,1.329s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""npru"")",Chrome 108.0.0.0,,,2565-12-16 12:25:16,2565-12-16 12:25:17,0.901s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:25:17,2565-12-16 12:25:21,3.513s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม"", false)",Chrome 108.0.0.0,,,2565-12-16 12:25:21,2565-12-16 12:25:21,0.749s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:25:21,2565-12-16 12:25:22,0.574s,PASSED
,,,,,,,
Test Cases/TC1002SearchByKeyword,Chrome 108.0.0.0,,,2565-12-16 12:25:22,2565-12-16 12:25:28,6.522s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:25:22,2565-12-16 12:25:23,1.066s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:25:23,2565-12-16 12:25:24,1.061s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""chankasem university"")",Chrome 108.0.0.0,,,2565-12-16 12:25:24,2565-12-16 12:25:25,0.795s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:25:25,2565-12-16 12:25:27,2.049s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏจันทรเกษม"", false)",Chrome 108.0.0.0,,,2565-12-16 12:25:27,2565-12-16 12:25:28,0.776s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:25:28,2565-12-16 12:25:28,0.581s,PASSED
,,,,,,,
Test Cases/TC1003SearchByKeyword,Chrome 108.0.0.0,,,2565-12-16 12:25:28,2565-12-16 12:25:35,6.654s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:25:29,2565-12-16 12:25:30,1.087s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:25:30,2565-12-16 12:25:31,0.878s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""npru"")",Chrome 108.0.0.0,,,2565-12-16 12:25:31,2565-12-16 12:25:31,0.663s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:25:31,2565-12-16 12:25:34,2.554s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม"", false)",Chrome 108.0.0.0,,,2565-12-16 12:25:34,2565-12-16 12:25:34,0.703s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:25:34,2565-12-16 12:25:35,0.575s,PASSED
